Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000288,ENSRNOG00000006741,1
ENSRNOG00000000288,ENSRNOG00000015173,1
ENSRNOG00000000288,ENSRNOG00000042118,1
ENSRNOG00000000288,ENSRNOG00000060061,1
ENSRNOG00000000302,ENSRNOG00000047088,1
ENSRNOG00000000306,ENSRNOG00000016417,1
ENSRNOG00000000307,ENSRNOG00000000708,1
ENSRNOG00000000307,ENSRNOG00000001849,1
ENSRNOG00000000307,ENSRNOG00000002949,1
ENSRNOG00000000307,ENSRNOG00000004760,1
ENSRNOG00000000307,ENSRNOG00000005936,1
ENSRNOG00000000307,ENSRNOG00000010299,1
ENSRNOG00000000307,ENSRNOG00000016478,1
ENSRNOG00000000307,ENSRNOG00000016660,1
ENSRNOG00000000307,ENSRNOG00000020140,1
ENSRNOG00000000307,ENSRNOG00000056678,1
ENSRNOG00000000307,ENSRNOG00000057469,1
ENSRNOG00000000308,ENSRNOG00000004760,1
ENSRNOG00000000312,ENSRNOG00000004760,1
ENSRNOG00000000312,ENSRNOG00000008668,1
ENSRNOG00000000314,ENSRNOG00000020715,1
ENSRNOG00000000314,ENSRNOG00000029165,1
ENSRNOG00000000316,ENSRNOG00000004604,1
ENSRNOG00000000316,ENSRNOG00000004760,1
ENSRNOG00000000322,ENSRNOG00000017751,1
ENSRNOG00000000323,ENSRNOG00000004538,1
ENSRNOG00000000335,ENSRNOG00000003403,1
ENSRNOG00000000383,ENSRNOG00000001607,1
ENSRNOG00000000383,ENSRNOG00000010431,1
ENSRNOG00000000383,ENSRNOG00000017401,1
ENSRNOG00000000383,ENSRNOG00000049351,1
ENSRNOG00000000384,ENSRNOG00000008668,1
ENSRNOG00000000384,ENSRNOG00000016684,1
ENSRNOG00000000386,ENSRNOG00000026775,1
ENSRNOG00000000397,ENSRNOG00000017822,1
ENSRNOG00000000407,ENSRNOG00000007834,1
ENSRNOG00000000407,ENSRNOG00000047513,1
ENSRNOG00000000408,ENSRNOG00000000632,1
ENSRNOG00000000408,ENSRNOG00000011560,1
ENSRNOG00000000411,ENSRNOG00000004760,1
ENSRNOG00000000411,ENSRNOG00000019404,1
ENSRNOG00000000411,ENSRNOG00000027514,1
ENSRNOG00000000412,ENSRNOG00000033527,1
ENSRNOG00000000415,ENSRNOG00000002680,1
ENSRNOG00000000415,ENSRNOG00000030098,1
ENSRNOG00000000417,ENSRNOG00000020873,1
ENSRNOG00000000421,ENSRNOG00000013267,1
ENSRNOG00000000421,ENSRNOG00000022305,1
ENSRNOG00000000422,ENSRNOG00000024955,1
ENSRNOG00000000428,ENSRNOG00000003213,1
ENSRNOG00000000433,ENSRNOG00000000614,1
ENSRNOG00000000437,ENSRNOG00000004760,1
ENSRNOG00000000437,ENSRNOG00000011491,1
ENSRNOG00000000437,ENSRNOG00000019873,1
ENSRNOG00000000437,ENSRNOG00000020640,1
ENSRNOG00000000437,ENSRNOG00000050819,1
ENSRNOG00000000437,ENSRNOG00000055525,1
ENSRNOG00000000441,ENSRNOG00000002680,1
ENSRNOG00000000461,ENSRNOG00000000924,1
ENSRNOG00000000461,ENSRNOG00000001979,1
ENSRNOG00000000461,ENSRNOG00000004259,1
ENSRNOG00000000461,ENSRNOG00000011254,1
ENSRNOG00000000461,ENSRNOG00000019529,1
ENSRNOG00000000461,ENSRNOG00000020426,1
ENSRNOG00000000461,ENSRNOG00000027099,1
ENSRNOG00000000461,ENSRNOG00000028063,1
ENSRNOG00000000461,ENSRNOG00000052513,1
ENSRNOG00000000470,ENSRNOG00000002680,1
ENSRNOG00000000470,ENSRNOG00000015503,1
ENSRNOG00000000470,ENSRNOG00000021273,1
ENSRNOG00000000470,ENSRNOG00000049783,1
ENSRNOG00000000474,ENSRNOG00000004111,1
ENSRNOG00000000474,ENSRNOG00000010137,1
ENSRNOG00000000474,ENSRNOG00000012349,1
ENSRNOG00000000474,ENSRNOG00000016950,1
ENSRNOG00000000479,ENSRNOG00000010379,1
ENSRNOG00000000480,ENSRNOG00000029450,1
ENSRNOG00000000480,ENSRNOG00000051563,1
ENSRNOG00000000485,ENSRNOG00000004760,1
ENSRNOG00000000485,ENSRNOG00000016725,1
ENSRNOG00000000488,ENSRNOG00000004760,1
ENSRNOG00000000495,ENSRNOG00000009832,1
ENSRNOG00000000498,ENSRNOG00000004687,1
ENSRNOG00000000498,ENSRNOG00000004760,1
ENSRNOG00000000498,ENSRNOG00000004768,1
ENSRNOG00000000498,ENSRNOG00000006049,1
ENSRNOG00000000498,ENSRNOG00000006079,1
ENSRNOG00000000498,ENSRNOG00000006813,1
ENSRNOG00000000498,ENSRNOG00000006816,1
ENSRNOG00000000498,ENSRNOG00000008639,1
ENSRNOG00000000498,ENSRNOG00000010260,1
ENSRNOG00000000498,ENSRNOG00000012054,1
ENSRNOG00000000498,ENSRNOG00000012349,1
ENSRNOG00000000498,ENSRNOG00000015376,1
ENSRNOG00000000498,ENSRNOG00000016957,1
ENSRNOG00000000498,ENSRNOG00000018118,1
ENSRNOG00000000498,ENSRNOG00000018487,1
ENSRNOG00000000498,ENSRNOG00000026474,1
ENSRNOG00000000498,ENSRNOG00000027037,1
ENSRNOG00000000498,ENSRNOG00000030120,1
ENSRNOG00000000498,ENSRNOG00000047781,1
ENSRNOG00000000498,ENSRNOG00000051372,1
ENSRNOG00000000498,ENSRNOG00000052017,1
ENSRNOG00000000498,ENSRNOG00000054426,1
ENSRNOG00000000499,ENSRNOG00000015402,1
ENSRNOG00000000499,ENSRNOG00000016286,1
ENSRNOG00000000499,ENSRNOG00000056870,1
ENSRNOG00000000499,ENSRNOG00000060410,1
ENSRNOG00000000504,ENSRNOG00000014170,1
ENSRNOG00000000504,ENSRNOG00000027152,1
ENSRNOG00000000504,ENSRNOG00000047734,1
ENSRNOG00000000505,ENSRNOG00000047088,1
ENSRNOG00000000508,ENSRNOG00000022911,1
ENSRNOG00000000511,ENSRNOG00000011316,1
ENSRNOG00000000511,ENSRNOG00000031325,1
ENSRNOG00000000512,ENSRNOG00000030759,1
ENSRNOG00000000519,ENSRNOG00000008678,1
ENSRNOG00000000519,ENSRNOG00000012349,1
ENSRNOG00000000519,ENSRNOG00000013718,1
ENSRNOG00000000519,ENSRNOG00000014230,1
ENSRNOG00000000519,ENSRNOG00000020513,1
ENSRNOG00000000519,ENSRNOG00000031643,1
ENSRNOG00000000519,ENSRNOG00000051563,1
ENSRNOG00000000519,ENSRNOG00000069633,1
ENSRNOG00000000521,ENSRNOG00000000129,1
ENSRNOG00000000521,ENSRNOG00000016207,1
ENSRNOG00000000525,ENSRNOG00000020807,1
ENSRNOG00000000525,ENSRNOG00000020813,1
ENSRNOG00000000527,ENSRNOG00000002959,1
ENSRNOG00000000527,ENSRNOG00000025892,1
ENSRNOG00000000527,ENSRNOG00000056118,1
ENSRNOG00000000529,ENSRNOG00000001212,1
ENSRNOG00000000529,ENSRNOG00000004760,1
ENSRNOG00000000529,ENSRNOG00000018761,1
ENSRNOG00000000529,ENSRNOG00000019372,1
ENSRNOG00000000532,ENSRNOG00000070627,1
ENSRNOG00000000536,ENSRNOG00000000988,1
ENSRNOG00000000536,ENSRNOG00000001607,1
ENSRNOG00000000536,ENSRNOG00000015389,1
ENSRNOG00000000536,ENSRNOG00000031325,1
ENSRNOG00000000541,ENSRNOG00000019257,1
ENSRNOG00000000556,ENSRNOG00000007892,1
ENSRNOG00000000559,ENSRNOG00000006565,1
ENSRNOG00000000560,ENSRNOG00000002001,1
ENSRNOG00000000561,ENSRNOG00000004760,1
ENSRNOG00000000563,ENSRNOG00000011015,1
